comparator_set,background_desc,a,b,c,d,n,ROR,ci_low,ci_high,IC025,signal,note,scope,snapshot,api_key_used
SGLT2i,empagliflozin+dapagliflozin+canagliflozin,912,81999,626,148357,231894,2.636,2.38,2.919,0.636,True,T2D active comparator (indication-matched),semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
DPP-4i,sitagliptin+linagliptin+saxagliptin,912,81999,765,113197,196873,1.646,1.494,1.812,0.275,True,T2D active comparator (indication-matched),semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
SGLT2i+DPP-4i,empagliflozin+dapagliflozin+canagliflozin+sitagliptin+linagliptin+saxagliptin,912,81999,1336,249210,333457,2.075,1.906,2.258,0.613,True,PRIMARY comparator (anchor),semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
sulfonylurea,glipizide+glimepiride+glyburide,912,81999,1744,117462,202117,0.749,0.691,0.812,-0.35,False,T2D 2nd-line,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
metformin,metformin,912,81999,8934,412875,504720,0.514,0.48,0.55,-0.92,False,T2D 1st-line,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
TZD,pioglitazone+rosiglitazone,912,81999,441,44172,127524,1.114,0.994,1.249,-0.042,False,T2D 2nd-line,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
insulin,insulin_glargine+insulin_aspart,912,81999,1466,276045,360422,2.094,1.927,2.276,0.644,True,T2D injectable,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
all_T2D_2ndline_combined,empagliflozin+dapagliflozin+canagliflozin+sitagliptin+linagliptin+saxagliptin+glipizide+glimepiride+glyburide+pioglitazone+rosiglitazone+insulin_glargine+insulin_aspart+metformin,912,81999,11497,866090,960498,0.838,0.783,0.897,-0.326,False,combined non-GLP1 antidiabetics,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
orlistat,orlistat,912,81999,117,25547,108575,2.429,2.002,2.945,0.121,True,obesity comparator,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
naltrexone_bupropion,naltrexone_bupropion,912,81999,13569,164097,260577,0.135,0.126,0.144,-2.431,False,obesity comparator (NB contains bupropion-an antidepressant),semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
phentermine,phentermine,912,81999,274,11489,94674,0.466,0.407,0.535,-0.281,False,obesity comparator,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
obesity_combined,orlistat+naltrexone_bupropion+phentermine,912,81999,13918,200345,297174,0.16,0.15,0.171,-2.275,False,combined obesity comparators,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
other_GLP1_RAs,liraglutide+tirzepatide+dulaglutide+exenatide+lixisenatide+albiglutide+efpeglenatide,912,81999,1098,325160,409169,3.294,3.016,3.597,1.069,True,within-class background (isolates semaglutide-specific signal),semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
full_database,FULL DATABASE (UNMATCHED),912,81999,286854,19958810,20328575,0.774,0.725,0.826,-0.458,False,UNMATCHED whole-DB background,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
SGLT2i+DPP-4i | consumer_only,empagliflozin+dapagliflozin+canagliflozin+sitagliptin+linagliptin+saxagliptin,441,53282,331,110421,164475,2.761,2.393,3.185,0.672,True,reporter=consumer/non-HP only,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
SGLT2i+DPP-4i | physician_only,empagliflozin+dapagliflozin+canagliflozin+sitagliptin+linagliptin+saxagliptin,231,13864,533,71074,85702,2.222,1.902,2.596,0.692,True,reporter=physician only,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
SGLT2i+DPP-4i | HCP_only,empagliflozin+dapagliflozin+canagliflozin+sitagliptin+linagliptin+saxagliptin,469,27675,954,127925,157023,2.272,2.033,2.54,0.748,True,reporter=any healthcare professional,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
SGLT2i+DPP-4i | US_only,empagliflozin+dapagliflozin+canagliflozin+sitagliptin+linagliptin+saxagliptin,459,65217,554,148751,214981,1.89,1.669,2.139,0.437,True,country=US only,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
SGLT2i+DPP-4i | 2024Q1_matched,empagliflozin+dapagliflozin+canagliflozin+sitagliptin+linagliptin+saxagliptin,87,5267,23,6002,11379,4.31,2.718,6.835,0.446,True,same calendar quarter 2024Q1,semaglutide x suicide_selfinjury SMQ narrow,2026-04-28,False
