record_id,title,screener_design,title_only_checker_relevant,adjudicated_relevant,ta_reason,why
296,Psychosocial Outcomes in Telemedicine and Long-Acting Incretin-Specific Behavioral Intervention.,cohort,False,True,"Single-arm pragmatic trial of semaglutide/tirzepatide with depression (PHQ-8) and anxiety-adjacent outcomes (perceived stress, well-being) measured prospectively",No GLP-1 RA exposure; telemedicine/behavioral intervention focus.
182,Association of tirzepatide and the risk of suicide in a real-world cohort.,cohort,True,True,"Human adults, tirzepatide (GLP-1 RA) exposure, primary neuropsychiatric outcome (suicidal ideation/attempts), retrospective cohort design with propensity-score matching",GLP-1/GIP agonist (tirzepatide) with suicidality outcome in cohort study
733,Abstract 4139045: Suicide and Self-Harm with GLP-1 Receptor Agonists: A Meta-Analysis of Randomized Controlled Trials,sr-ma,True,True,GLP-1 RA + neuropsych outcome + eligible design,Meta-analysis of GLP-1 RA with suicide/self-harm outcomes
81,"The risk of depression, anxiety, and suicidal behavior in patients with obesity on glucagon like peptide-1 receptor agonist therapy.",cohort,True,True,"Human adults, GLP-1 RAs (liraglutide, semaglutide), neuropsychiatric outcomes (depression, anxiety, suicidal behavior) reported. Observational cohort with propensity score matching.","GLP-1 RA exposure with depression, anxiety, suicidality outcomes in obesity patients."
353,"Psychiatric Safety of Semaglutide for Weight Management in People Without Known Major Psychopathology: Post Hoc Analysis of the STEP 1, 2, 3, and 5 Trials.",rct,True,True,RCT pooled analysis of semaglutide 2.4 mg vs placebo; primary outcomes include depressive symptoms (PHQ-9) and suicidal ideation/behavior (C-SSRS) in adults with obesity; meets PICO criteria,"GLP-1 RA (semaglutide) with neuropsychiatric outcomes (psychiatric safety, depression, anxiety, suicidality proxy)."
365,"Association between tirzepatide use and risk of mortality, hospitalization, and suicidal behavior in patients with schizophrenia spectrum disorders: A one-year retrospective cohort study of 3618 patients.",cohort,False,True,"Observational cohort study (propensity-score matched) of tirzepatide in adults with schizophrenia spectrum disorders, with suicidal behavior as a primary outcome.","Tirzepatide (GIP/GLP-1 RA), not GLP-1 RA monotherapy; primary outcome is mortality/hospitalization, not neuropsychiatric."
304,Glucagon-Like Peptide-1 Use and Healthcare Resource Utilization for Depression and Anxiety Among Adults with Type 2 Diabetes: 2019 to 2023.,cohort,True,True,"Human adults, GLP-1 RA exposure (semaglutide, liraglutide, dulaglutide), neuropsychiatric outcomes (depression, anxiety), primary observational study (retrospective cohort with active comparator DPP-4",GLP-1 use with depression/anxiety outcomes in T2D adults.
187,GLP-1 Receptor Agonists for Weight Loss and Risk of Major Safety Outcomes: A Multicentre Cohort Study.,cohort,False,True,"Multicentre cohort study (new-user design, propensity-score matched); adults; GLP-1 RAs (semaglutide, liraglutide); multiple neuropsychiatric outcomes reported (psychiatric disorders overall, anxiety ",Weight loss focus; no neuropsychiatric or addiction outcomes mentioned.
46,Assessing the shadows: A meta-analysis of GLP-1 agonists and suicidal ideation.,sr-ma,True,True,SR-MA of GLP-1 RAs vs comparators; primary outcome is suicidal ideation and suicide completion in adults with diabetes/obesity,Meta-analysis of GLP-1 agonists with suicidal ideation outcome
0,Association Between Glucagon-Like Peptide-1 Receptor Agonists and Suicidality: A Systematic Review.,sr-ma,True,True,Systematic review of observational studies examining GLP-1 RA exposure and suicidal ideation/behaviours in adults; primary outcome is neuropsychiatric (suicidality),Systematic review of GLP-1 RA exposure with suicidality outcome.
164,Tirzepatide for Obesity in Adults &#x2265;&#x2009;65&#x2009;Years: A Post Hoc Analysis of the SURMOUNT and SUMMIT Clinical Trials.,rct,False,True,RCT post hoc analysis; GLP-1/GIP RA (tirzepatide); adults; reports depression outcomes (neuropsychiatric) as safety measure,Tirzepatide obesity treatment; no neuropsychiatric or addiction outcomes assessed.
338,"Effects of six months treatment with liraglutide among patients with psoriasis and obesity, beyond metabolic control?",cohort,False,True,"Primary observational study (cohort); GLP-1 RA (liraglutide) exposure in adults; depression outcome measured (BDI); neuropsychiatric effect reported (BDI improved 15.5→7.6, p<0.0001).",GLP-1 RA for psoriasis; no neuropsychiatric or addiction outcome.
206,Association of Glucagon-Like Peptide-1 Receptor Agonists and Suicidality: A Systematic Review.,sr-ma,True,True,"SR-MA on GLP-1 RAs and suicidality (primary outcome); pooled disproportionality data (ROR) from pharmacovigilance; human adults; neuropsychiatric outcome (suicidal ideation, depression)",Systematic review of GLP-1 RA exposure with suicidality outcome.
129,What Effects Might Exenatide have on Non-Motor Symptoms in Parkinson's Disease: A Post Hoc Analysis.,rct,False,True,RCT of exenatide (GLP-1 RA) in adults; primary outcome reported on mood/depression (neuropsychiatric); post hoc analysis of secondary outcomes from randomized trial,GLP-1 RA for Parkinson's non-motor symptoms; no neuropsychiatric or addiction outcome.
197,"Decreased Risk of Anxiety in Diabetic Patients Receiving Glucagon-like Peptide-1 Receptor Agonist: A Nationwide, Population-Based Cohort Study.",cohort,True,True,Population-based cohort study; GLP-1 RA exposure (multiple agents including dulaglutide); primary outcomes are anxiety and depression (neuropsychiatric); adult diabetic population; reported hazard rat,GLP-1 RA exposure with anxiety outcome in diabetic cohort study
6,"Glucagon-like peptide-1 receptor agonists and reduced mortality, cardiovascular and psychiatric risks in patients with psoriasis: a large-scale cohort study.",cohort,True,True,"Cohort study in adults with GLP-1 RA exposure; reports neuropsychiatric outcomes (substance abuse, alcohol abuse); primary observational study eligible for Stream A",GLP-1 RA exposure with psychiatric outcomes (depression/anxiety) in cohort study
104,A systematic review on the role of glucagon-like peptide-1 receptor agonists on alcohol-related behaviors: potential therapeutic strategy for alcohol use disorder.,sr-ma,True,True,SR-MA on GLP-1RAs and alcohol-related behaviors (neuropsychiatric outcome); includes 2 human clinical studies with analyzable data on semaglutide/exenatide and AUD outcomes,GLP-1 RA exposure with addiction/substance-use outcome (alcohol use disorder).
49,Effect of Exenatide Use on Cognitive and Affective Functioning in Obese Patients With Type 2 Diabetes Mellitus: Exenatide Use Mediates Depressive Scores Through Increased Perceived Stress Levels.,cohort,True,True,"Human adults with T2DM on exenatide (GLP-1 RA); primary neuropsychiatric outcomes measured (depression via PHQ-9, anxiety via GAD-7); observational cohort design with comparison group.",GLP-1 RA (exenatide) with depression outcome; primary study design.
679,"Liraglutide and the management of overweight and obesity in people with schizophrenia, schizoaffective disorder and first-episode psychosis: protocol for a pilot trial",rct,False,True,GLP-1 RA + neuropsych outcome + eligible design,GLP-1 RA for weight management in psychosis; no neuropsychiatric outcome assessed.
333,The effect of glucagon-like Peptide-1 receptor agonists on measures of suicidality: A systematic review.,sr-ma,True,True,SR-MA on GLP-1 RAs and suicidality (primary outcome); includes pharmacovigilance and cohort studies; meets PICO,Systematic review of GLP-1 RA exposure with suicidality outcome
214,Glucagon-like peptide receptor agonists and risk for depression.,cohort,True,True,"Retrospective cohort study comparing GLP-1RA (semaglutide, liraglutide) to DPP-4i in adult patients, primary outcome is incident depression (neuropsychiatric outcome), analyzable data reported.",GLP-1 RA exposure with depression outcome directly addressed.
327,Semaglutide for the treatment of cognitive dysfunction in major depressive disorder: A randomized clinical trial.,rct,True,True,"RCT of semaglutide in adults with MDD; neuropsychiatric outcomes (suicidal ideation, depressive symptoms) measured as secondary outcomes",GLP-1 RA (semaglutide) with neuropsychiatric outcome (depression/cognitive dysfunction).
321,Repurposing Semaglutide and Liraglutide for Alcohol Use Disorder.,self-controlled,True,True,"Human adults, GLP-1 RA exposure (semaglutide, liraglutide), neuropsychiatric outcome (suicide attempt) reported as secondary outcome, self-controlled cohort design (within-individual).","GLP-1 RAs (semaglutide, liraglutide) + addiction outcome (alcohol use disorder)."
64,The effect of GLP-1 receptor agonists on anxiety: A systematic review.,sr-ma,True,True,SR-MA on GLP-1 RAs and anxiety (neuropsychiatric outcome); includes clinical cohorts with suicidal ideation data; appropriate for systematic review of reviews and snowballing.,GLP-1 RA with neuropsychiatric outcome (anxiety); systematic review.
176,Risk of suicidal ideation and suicidality among adults prescribed semaglutide for weight management: A population-based cohort study.,cohort,True,True,"Population-based cohort study of adults on semaglutide (GLP-1 RA) vs active comparators, measuring incident suicidal ideation and suicidality as primary outcomes.",GLP-1 RA (semaglutide) with suicidality outcome in adults.
166,Risk of Psychiatric Worsening With GLP-1 Receptor Agonist Use in Patients With Type 2 Diabetes and Treated Depression.,cohort,True,True,Retrospective active-comparator cohort study; adults with T2D and depression on GLP-1 RA vs SGLT2i; primary outcomes include suicidality (neuropsychiatric); analyzable results reported,GLP-1 RA exposure with psychiatric outcome (depression worsening) in primary study population.
37,Glucagon-like peptide-1 receptor agonist semaglutide through the lens of psychiatry: a systematic review of potential benefits and risks.,sr-ma,True,True,"Systematic review of semaglutide (GLP-1 RA) reporting neuropsychiatric outcomes (depressive symptoms, suicidal ideation, antidepressant effects) in human adults; primary eligible for snowballing and e",Systematic review of GLP-1 RA (semaglutide) with explicit psychiatric outcomes focus.
351,Neuropsychiatric Effects of Tirzepatide: A Systematic Review and Meta-Analysis.,sr-ma,True,True,SR-MA on tirzepatide (GLP-1 RA) and neuropsychiatric outcomes; eligible for snowballing and comparison,Tirzepatide (GLP-1/GIP RA) with neuropsychiatric outcomes systematically reviewed.
48,Liraglutide in Obese or Overweight Individuals With Stable Bipolar Disorder.,rct,True,True,"RCT of liraglutide in adults with bipolar disorder; primary outcome weight loss, but safety monitoring in psychiatrically vulnerable population (stable BD) is directly relevant to neuropsychiatric out",GLP-1 RA (liraglutide) with neuropsychiatric outcome (bipolar disorder stability).
309,Incidence of new onset type 2 diabetes in adults living with obesity treated with tirzepatide or semaglutide: real world evidence from an international retrospective cohort study.,cohort,False,True,Cohort study comparing tirzepatide vs semaglutide in adults; reports suicidal ideation and/or attempt as outcome,"GLP-1 agonist study, but diabetes incidence outcome—not neuropsychiatric or addiction."
