study_id,framework,D1,D2,D3,D4,D5,overall
20107105,RoB2,Some concerns,Some concerns,Some concerns,High,High,High
24843595,RoB2,Low,Some concerns,Some concerns,Some concerns,High,High
26630143,RoB2,Low,Low,Low,High,Some concerns,High
27005405,RoB2,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns
28910237,RoB2,Low,Low,High,Some concerns,Some concerns,High
31282028,RoB2,Some concerns,Some concerns,Some concerns,Some concerns,High,High
31407845,RoB2,Low,Some concerns,Some concerns,High,High,High
31758520,RoB2,Low,Some concerns,Some concerns,High,Some concerns,High
33567185,RoB2,Low,Some concerns,Some concerns,High,Some concerns,High
35679098,RoB2,Some concerns,Some concerns,Some concerns,High,Some concerns,High
37952131,RoB2,Low,Some concerns,Low,High,Some concerns,High
31189511,RoB2,Low,Low,Low,High,ESCALATE_TO_HUMAN,High
32233338,RoB2,Low,Low,Some concerns,Low,Low,Some concerns
31530667,RoB2,Low,Low,Some concerns,High,High,High
24842985,RoB2,Low,Low,Some concerns,High,Some concerns,High
21450987,RoB2,Some concerns,Some concerns,Some concerns,High,High,High
35658022,RoB2,Some concerns,Low,Some concerns,High,High,High
26132939,RoB2,Low,Low,High,Some concerns,Some concerns,High
30291013,RoB2,Low,Low,Some concerns,High,ESCALATE_TO_HUMAN,High
32816874,RoB2,Some concerns,Some concerns,High,High,Some concerns,High
